연월,행정동코드,연령대코드,성별코드,구분명,인구수
2024-01,4812531000,0,2,내국인,28
2024-01,4812531000,10,2,내국인,56
2024-01,4812531000,20,2,내국인,83
2024-01,4812531000,30,2,내국인,90
2024-01,4812531000,40,2,내국인,115
2024-01,4812531000,50,2,내국인,275
2024-01,4812531000,60,2,내국인,580
2024-01,4812531000,70,2,내국인,716
2024-01,4812532000,0,1,내국인,436
2024-01,4812532000,10,1,내국인,552
2024-01,4812532000,20,1,내국인,483
2024-01,4812532000,30,1,내국인,585
2024-01,4812532000,40,1,내국인,1070
2024-01,4812532000,50,1,내국인,1027
2024-01,4812532000,60,1,내국인,1106
2024-01,4812532000,70,1,내국인,777
2024-01,4812532000,0,2,내국인,398
2024-01,4812532000,10,2,내국인,514
2024-01,4812532000,20,2,내국인,397
2024-01,4812532000,30,2,내국인,495
2024-01,4812532000,40,2,내국인,875
2024-01,4812532000,50,2,내국인,861
2024-01,4812532000,60,2,내국인,1097
2024-01,4812532000,70,2,내국인,1078
2024-01,4812533000,0,1,내국인,19
2024-01,4812533000,10,1,내국인,58
2024-01,4812533000,20,1,내국인,102
2024-01,4812533000,30,1,내국인,90
2024-01,4812533000,40,1,내국인,163
2024-01,4812533000,50,1,내국인,324
2024-01,4812533000,60,1,내국인,494
2024-01,4812533000,70,1,내국인,434
2024-01,4812533000,0,2,내국인,18
2024-01,4812533000,10,2,내국인,55
2024-01,4812533000,20,2,내국인,71
2024-01,4812533000,30,2,내국인,54
2024-01,4812533000,40,2,내국인,98
2024-01,4812533000,50,2,내국인,244
2024-01,4812533000,60,2,내국인,414
2024-01,4812533000,70,2,내국인,552
2024-01,4812534000,0,1,내국인,21
2024-01,4812534000,10,1,내국인,63
2024-01,4812534000,20,1,내국인,99
2024-01,4812534000,30,1,내국인,101
2024-01,4812534000,40,1,내국인,141
2024-01,4812534000,50,1,내국인,355
2024-01,4812534000,60,1,내국인,514
2024-01,4812534000,70,1,내국인,532
2024-01,4812534000,0,2,내국인,15
2024-01,4812534000,10,2,내국인,46
2024-01,4812534000,20,2,내국인,55
2024-01,4812534000,30,2,내국인,52
2024-01,4812534000,40,2,내국인,101
2024-01,4812534000,50,2,내국인,244
2024-01,4812534000,60,2,내국인,500
2024-01,4812534000,70,2,내국인,839
2024-01,4812551000,0,1,내국인,863
2024-01,4812551000,10,1,내국인,777
2024-01,4812551000,20,1,내국인,477
2024-01,4812551000,30,1,내국인,820
2024-01,4812551000,40,1,내국인,1490
2024-01,4812551000,50,1,내국인,930
2024-01,4812551000,60,1,내국인,889
2024-01,4812551000,70,1,내국인,568
2024-01,4812551000,0,2,내국인,796
2024-01,4812551000,10,2,내국인,768
2024-01,4812551000,20,2,내국인,390
2024-01,4812551000,30,2,내국인,948
2024-01,4812551000,40,2,내국인,1352
2024-01,4812551000,50,2,내국인,915
2024-01,4812551000,60,2,내국인,1007
2024-01,4812551000,70,2,내국인,755
2024-01,4812552000,0,1,내국인,66
2024-01,4812552000,10,1,내국인,59
2024-01,4812552000,20,1,내국인,213
2024-01,4812552000,30,1,내국인,302
2024-01,4812552000,40,1,내국인,186
2024-01,4812552000,50,1,내국인,187
2024-01,4812552000,60,1,내국인,233
2024-01,4812552000,70,1,내국인,148
2024-01,4812552000,0,2,내국인,56
2024-01,4812552000,10,2,내국인,73
2024-01,4812552000,20,2,내국인,212
2024-01,4812552000,30,2,내국인,246
2024-01,4812552000,40,2,내국인,163
2024-01,4812552000,50,2,내국인,240
2024-01,4812552000,60,2,내국인,209
2024-01,4812552000,70,2,내국인,173
2024-01,4812553000,0,1,내국인,2094
2024-01,4812553000,10,1,내국인,2143
2024-01,4812553000,20,1,내국인,2592
2024-01,4812553000,30,1,내국인,2740
2024-01,4812553000,40,1,내국인,3470
2024-01,4812553000,50,1,내국인,3124
2024-01,4812553000,60,1,내국인,2777
2024-01,4812553000,70,1,내국인,1679
2024-01,4812553000,0,2,내국인,1932
2024-01,4812553000,10,2,내국인,2056
2024-01,4812553000,20,2,내국인,1949
2024-01,4812553000,30,2,내국인,2690
2024-01,4812553000,40,2,내국인,3402
2024-01,4812553000,50,2,내국인,3514
2024-01,4812553000,60,2,내국인,3146
2024-01,4812553000,70,2,내국인,2311
2024-01,4812554000,0,1,내국인,174
2024-01,4812554000,10,1,내국인,321
2024-01,4812554000,20,1,내국인,1028
2024-01,4812554000,30,1,내국인,559
2024-01,4812554000,40,1,내국인,728
2024-01,4812554000,50,1,내국인,864
2024-01,4812554000,60,1,내국인,942
2024-01,4812554000,70,1,내국인,845
2024-01,4812554000,0,2,내국인,188
2024-01,4812554000,10,2,내국인,359
2024-01,4812554000,20,2,내국인,766
2024-01,4812554000,30,2,내국인,434
2024-01,4812554000,40,2,내국인,578
2024-01,4812554000,50,2,내국인,866
2024-01,4812554000,60,2,내국인,1107
2024-01,4812554000,70,2,내국인,1186
2024-01,4812556500,0,1,내국인,289
2024-01,4812556500,10,1,내국인,652
2024-01,4812556500,20,1,내국인,689
2024-01,4812556500,30,1,내국인,627
2024-01,4812556500,40,1,내국인,994
2024-01,4812556500,50,1,내국인,1174
2024-01,4812556500,60,1,내국인,1166
2024-01,4812556500,70,1,내국인,968
2024-01,4812556500,0,2,내국인,270
2024-01,4812556500,10,2,내국인,597
2024-01,4812556500,20,2,내국인,565
2024-01,4812556500,30,2,내국인,542
2024-01,4812556500,40,2,내국인,984
2024-01,4812556500,50,2,내국인,1169
2024-01,4812556500,60,2,내국인,1324
2024-01,4812556500,70,2,내국인,1543
2024-01,4812557000,0,1,내국인,149
2024-01,4812557000,10,1,내국인,331
2024-01,4812557000,20,1,내국인,461
2024-01,4812557000,30,1,내국인,406
2024-01,4812557000,40,1,내국인,519
2024-01,4812557000,50,1,내국인,801
2024-01,4812557000,60,1,내국인,850
2024-01,4812557000,70,1,내국인,645
2024-01,4812557000,0,2,내국인,116
2024-01,4812557000,10,2,내국인,330
2024-01,4812557000,20,2,내국인,412
2024-01,4812557000,30,2,내국인,331
2024-01,4812557000,40,2,내국인,539
2024-01,4812557000,50,2,내국인,801
2024-01,4812557000,60,2,내국인,991
2024-01,4812557000,70,2,내국인,927
2024-01,4812558000,0,1,내국인,152
2024-01,4812558000,10,1,내국인,432
2024-01,4812558000,20,1,내국인,526
2024-01,4812558000,30,1,내국인,402
2024-01,4812558000,40,1,내국인,596
2024-01,4812558000,50,1,내국인,797
2024-01,4812558000,60,1,내국인,923
2024-01,4812558000,70,1,내국인,734
2024-01,4812558000,0,2,내국인,130
2024-01,4812558000,10,2,내국인,350
2024-01,4812558000,20,2,내국인,390
2024-01,4812558000,30,2,내국인,313
2024-01,4812558000,40,2,내국인,581
2024-01,4812558000,50,2,내국인,903
2024-01,4812558000,60,2,내국인,1079
2024-01,4812558000,70,2,내국인,1061
2024-01,4812561000,0,1,내국인,833
2024-01,4812561000,10,1,내국인,873
2024-01,4812561000,20,1,내국인,837
2024-01,4812561000,30,1,내국인,1431
2024-01,4812561000,40,1,내국인,1541
2024-01,4812561000,50,1,내국인,1431
2024-01,4812561000,60,1,내국인,1372
2024-01,4812561000,70,1,내국인,1069
2024-01,4812561000,0,2,내국인,788
2024-01,4812561000,10,2,내국인,791
2024-01,4812561000,20,2,내국인,748
2024-01,4812561000,30,2,내국인,1334
2024-01,4812561000,40,2,내국인,1427
2024-01,4812561000,50,2,내국인,1322
2024-01,4812561000,60,2,내국인,1606
2024-01,4812561000,70,2,내국인,1556
2024-01,4812563000,0,1,내국인,380
2024-01,4812563000,10,1,내국인,574
2024-01,4812563000,20,1,내국인,882
2024-01,4812563000,30,1,내국인,1042
2024-01,4812563000,40,1,내국인,1503
2024-01,4812563000,50,1,내국인,1626
2024-01,4812563000,60,1,내국인,1740
2024-01,4812563000,70,1,내국인,1425
2024-01,4812563000,0,2,내국인,351
2024-01,4812563000,10,2,내국인,556
2024-01,4812563000,20,2,내국인,760
2024-01,4812563000,30,2,내국인,846
2024-01,4812563000,40,2,내국인,1280
