Team,Season,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
MemphisGrizzlies,03-04,50,32,0.61,48.5,96.7,36.1,81.2,44.5,5.5,16,34,19,26.1,72.7,12.8,29,41.8,23.4,15,9.7,6.9,5.6,23.2,0,2.4
NewJerseyNets,03-04,47,35,0.573,48.1,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21,0.1,2.5
HoustonRockets,03-04,45,37,0.549,48.6,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0,1.7
DenverNuggets,03-04,43,39,0.524,48.1,97.2,36.5,82.5,44.3,4,12,33.6,20.2,26.3,76.7,13.2,29.1,42.3,21.9,15.6,9.1,6.3,5.8,22,0.1,1.1
MiamiHeat,03-04,42,40,0.512,48.2,90.3,33.3,78.3,42.5,5.9,16.5,35.7,17.8,23.4,76.2,11.5,30,41.5,19.1,13.9,7.2,3.8,5.4,22.1,0,0.5
UtahJazz,03-04,42,40,0.512,48.2,88.7,32.8,75.3,43.6,3.1,9.6,32.1,20,26.8,74.6,13.5,27.7,41.2,20.4,16.6,7.1,6,6.5,25.6,0.1,-1.2
MilwaukeeBucks,03-04,41,41,0.5,48.2,98,36.2,81.1,44.7,4.9,14,35,20.7,26.7,77.5,11.7,30.5,42.2,22.8,13.5,6.8,4.7,5,20.3,0,1.1
NewOrleansHornets,03-04,41,41,0.5,48.4,91.8,33.8,80.5,42,6.5,20.3,31.9,17.7,23.6,75.1,13.3,29.5,42.8,20.9,15,8.6,4.2,5.2,20.9,0.1,-0.1
PortlandTrailBlazers,03-04,41,41,0.5,48.7,90.7,35.3,78.9,44.8,4.6,13.4,34.6,15.4,21.1,73.1,12.7,29,41.7,21.6,14.8,7.5,5.4,4.8,19,0,-1.3
NewYorkKnicks,03-04,39,43,0.476,48.5,92,35.1,79.4,44.2,5,13.6,36.4,16.8,21.1,79.3,11.6,31,42.6,20.7,15.7,7.4,4.8,4.7,23.1,0,-1.5
GoldenStateWarriors,03-04,37,45,0.451,48.4,93.3,35.1,79.4,44.2,5.2,15.6,33.4,17.9,24.7,72.5,12.2,30.9,43.1,20.5,14.8,7,4.7,5.1,20.6,0,-0.7
SeattleSuperSonics,03-04,37,45,0.451,48.3,97.1,35.8,80.4,44.6,8.8,23.6,37.3,16.6,21.7,76.5,11.1,28.3,39.3,21.7,14.5,8.1,4.7,4.7,21.8,0.1,-0.6
BostonCeltics,03-04,36,46,0.439,48.1,95.3,34.7,78.2,44.3,6.7,19.5,34.6,19.2,25.5,75,10.4,29.8,40.1,20.5,16.2,9.4,4,5,22.4,0,-1.5
ClevelandCavaliers,03-04,35,47,0.427,48.4,92.9,35.6,82.4,43.3,3,9.6,31.4,18.6,24.8,75.3,13.6,31.9,45.6,22,14.8,7.1,6.5,5.3,21.3,0,-2.6
Philadelphia76ers,03-04,33,49,0.402,48.4,88,32.7,76.3,42.8,4.1,12.1,34.2,18.4,24.5,75.3,11.5,29.4,40.8,20,15.9,8,4.4,5.6,20.7,0,-2.5
TorontoRaptors,03-04,33,49,0.402,48.7,85.4,32.4,77.4,41.8,5.6,15.8,35.6,15.1,20.1,75,10.1,29.5,39.6,19.2,14.2,7.4,4.9,4.1,21.3,0,-3
PhoenixSuns,03-04,29,53,0.354,48.1,94.2,36.1,81.4,44.3,5.1,14.7,34.5,17,22.7,74.6,11.3,29.3,40.6,19.3,15.2,9,4.7,5.3,22.7,0,-3.7
AtlantaHawks,03-04,28,54,0.341,48.5,92.8,34.5,79.6,43.3,5.1,15.2,33.5,18.7,24.1,77.6,12.1,30.6,42.7,20.1,16.5,7.6,5,5.1,22.3,0,-4.6
LosAngelesClippers,03-04,28,54,0.341,48.3,94.8,34.4,80.2,42.8,4,12.5,32.1,22,28.1,78.5,14,29.5,43.5,20.2,16.4,7.2,4.6,5.3,22.1,0,-4.6
WashingtonWizards,03-04,25,57,0.305,48.4,91.8,33.6,80,42.1,5.3,15.5,34.2,19.3,27,71.4,13.6,29.2,42.8,18.7,17.5,8.9,5,5.5,20.9,0,-5.6
ChicagoBulls,03-04,23,59,0.28,48.4,89.7,34.1,82.4,41.4,5.2,15.3,34.2,16.2,22.4,72.5,12.8,30.7,43.5,21.9,16.1,8,4.8,5.4,23.3,0,-6.4
OrlandoMagic,03-04,21,61,0.256,48.4,94,35.4,82.5,42.9,5.2,15.2,34.4,18,24.4,73.7,12.2,28.7,40.9,19.3,13.7,6.7,3.8,5.5,21.3,0,-7
DallasMavericks,02-03,60,22,0.732,48.2,103,38.5,85.1,45.3,7.8,20.3,38.1,18.1,21.9,82.9,11.1,31,42.1,22.4,11.6,8.1,5.5,3.9,21.1,0.1,7.8
SanAntonioSpurs,02-03,60,22,0.732,48.4,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20,15.8,7.7,6.5,5.1,20.4,0,5.4
SacramentoKings,02-03,59,23,0.72,48.4,101.7,39.5,85.2,46.4,6,15.7,38.1,16.7,22.3,74.6,11,33.5,44.5,24.8,14.5,9,5.6,4.3,20.3,0,6.5
MinnesotaTimberwolves,02-03,51,31,0.622,48.3,98.1,38.7,83,46.6,3.6,9.8,36.8,17.1,22.3,77,11.7,31.9,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0,2.1
